Processed_File,Model,Fold,ROC AUC,Accuracy,Precision,Recall,F1
Data_drop_na_pca.pkl,LogisticRegression,3,0.7978947368421052,0.38620689655172413,0.0273224043715847,1.0,0.05319148936170213
Data_drop_na_pca.pkl,LogisticRegression,4,0.3183098591549296,0.5709342560553633,0.008264462809917356,0.2,0.015873015873015872
Data_drop_na_pca.pkl,MLP,0,0.5003508771929824,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,MLP,1,0.37473684210526315,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,MLP,2,0.6491228070175439,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,MLP,3,0.4070175438596491,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,MLP,4,0.35000000000000003,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,LightGBM,0,0.7810526315789473,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,LightGBM,1,0.7319298245614035,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,LightGBM,2,0.27789473684210525,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,LightGBM,3,0.6799999999999999,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,LightGBM,4,0.476056338028169,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,CatBoost,0,0.7375438596491228,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,CatBoost,1,0.8449122807017544,0.9793103448275862,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,CatBoost,2,0.4785964912280702,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,CatBoost,3,0.7073684210526316,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,CatBoost,4,0.35211267605633806,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,LogisticRegression,0,0.6428070175438596,0.8655172413793103,0.05263157894736842,0.4,0.09302325581395349
Data_drop_na_selectkbest.pkl,LogisticRegression,1,0.8371929824561404,0.8413793103448276,0.044444444444444446,0.4,0.08
Data_drop_na_selectkbest.pkl,LogisticRegression,2,0.5789473684210527,0.8172413793103448,0.02,0.2,0.03636363636363636
Data_drop_na_selectkbest.pkl,LogisticRegression,3,0.8533333333333333,0.8103448275862069,0.05357142857142857,0.6,0.09836065573770492
Data_drop_na_selectkbest.pkl,LogisticRegression,4,0.569718309859155,0.8719723183391004,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,MLP,0,0.4926315789473684,0.9827586206896551,0.0,0.0,0.0
